"id","name","isDisable","isSubRecipe","category.label","cost.prodQty","cost.prodCost","cost.baseCost","cost.prodUOM.label","cost.sellPrice","cost.suggestPrice","cost.sellMargin","cost.stdMargin","extra.notes","extra.utensil"
"0qrLgiBanrHK3QoG5Hw9","50 gm Chappathy",false,false,"Piece Main Dish",68,126.805,1.8648,"NOS",25,9.324,13.4063,5,,"Hotbox: HB"
"7MwR87y4f99Bp9uKCO3u","Adai Aviyal Aravai",false,true,"Tiffen Sambar",13,215.362,16.5663,"KG",0,82.8315,0,5,,""
"dyQDJaGvcGiFIff3OKDH","Adai Aviyal Thalippu",false,true,"Tiffen Sambar",10,52.132,5.2132,"KG",0,26.066,0,5,,""
"33j54fJ7czAVYnxW8Etv","Appalam",false,false,"Fryums",100,210.95,2.1095,"NOS",6.5,10.5475,3.0813,5,,""
"eClOIv0eRAZ0dPsgYkAK","Aviyal",false,false,"Kootu",11.5,914.691,79.5383,"KG",500,397.6915,6.2863,5,,"Hotbox: ID"
"a3Ix9eAjGJciIlT7lcoV","Aviyal - Aviyal Aravai",false,true,"Kootu",10,221.525,22.1525,"KG",1,110.7625,0.0451,5,,""
"cggcDRSEssVyvnS2i7jH","Aviyal- Poosani",false,false,"Kootu",8.6,591.2228,68.7468,"KG",350,343.734,5.0911,5,,"Hotbox: ID"
"SeFywRpMtRAXUPBH1nzR","BMD - Idly Manchurian",false,false,"Bulk Main Dish",150,388.2438,2.5883,"NOS",110,12.435,42.4989,5,,""
"xljJEfRzl2Ci08Jqf3XA","BMD - Khowsuey    ",false,false,"Bulk Main Dish",1.3,174.2575,134.0442,"KG",500,670.221,3.7301,5,,""
"3I7S8nkXqvo3d1L0ELvL","BMD - Khowsuey Gravy",false,true,"Bulk Main Dish",1.3,150.723,115.9408,"KG",0.01,579.704,0.0001,5,,""
"fyQ3rojqvupfoXUxijhJ","BMD - Masala Idiyappam",false,false,"Bulk Main Dish",1.4,81.459,58.185,"KG",250,290.925,4.2966,5,,""
"geHAt0gl6lGtv5gAkFJG","BMD - Palak Idiyappam",false,false,"Bulk Main Dish",1,87.024,87.024,"KG",400,435.12,4.5964,5,,"Hotbox: HB"
"I7mGJwJboK925OKy50Tu","BMD - Palak Idiyappam Aravai",false,true,"Bulk Main Dish",1,19.93,19.93,"KG",0.01,99.65,0.0005,5,,""
"G3sHN7RjVhaPYMTSVTSP","BMD - Rice Noodle in Idly Podi",false,false,"Bulk Main Dish",9.4,0,0,"KG",300,0,0,5,,"Hotbox: HB"
"nm0K78JCk9480qVRycCW","BMD - Spl. Kothu Chappathi",false,false,"Bulk Main Dish",9.5,827.188,87.0724,"KG",500,435.362,5.7423,5,,""
"I9NIYlRqkOZKft4w3xFB","BMD - Veg Rice Noodle",false,false,"Bulk Main Dish",9.4,458.15,48.7394,"KG",300,243.697,6.1552,5,,"Hotbox: HB"
"be5IJN0C93c0JVQdHTGG","BMD- Keppai Idiyappam",false,false,"Bulk Main Dish",140,219.04,1.5646,"NOS",16,7.823,10.2263,5,,""
"Fh0RLaMlymqxsOuThByn","BMD- Lemon Idiyappam",false,false,"Bulk Main Dish",9,375.63,41.7367,"KG",200,208.6835,4.7919,5,,""
"p23qDnFzSb3EDJ2sjA8q","BMD- Milagu Idiyappam",false,false,"Bulk Main Dish",8.85,354.105,40.0119,"KG",300,200.0595,7.4978,5,,"Hotbox: HB"
"EUAokkho1dieB1308f7U","BMD- Milagu,Seeraga Idiyappam",false,false,"Bulk Main Dish",9.6,474.105,49.3859,"KG",300,246.9295,6.0746,5,,"Hotbox: HB"
"bDdmregXZptikgiRz9QR","BMD- Schezvan Noodles",false,false,"Bulk Main Dish",10,624.3625,62.4362,"KG",300,312.181,4.8049,5,,""
"7ggxWUaZc9YBnr0TbaKE","BMD- Spl Kothu Parota",false,false,"Bulk Main Dish",10,789.184,78.9184,"KG",600,394.592,7.6028,5,,""
"zN3AgBT8JXLTTCwvAnSu","BMD- Thalitta Idiyappam",false,false,"Bulk Main Dish",9.25,339.22,36.6724,"KG",300,188.4555,8.1805,5,,"Hotbox: HB"
"LcynUZOtaPEgIS3ASqK1","BMD-Karuveppilai Podi Idiyappam",false,false,"Bulk Main Dish",18.5,1015.7141,54.9035,"KG",350,274.5175,6.3748,5,,""
"rghpz24YwknjVVaSnA8S","BMD-Kothu Parota",false,false,"Bulk Main Dish",10,845.906,84.5906,"KG",600,422.953,7.093,5,,""
"hajFvRDZ8N96B7TzkniJ","BMD-M.Samba Upma",false,false,"Bulk Main Dish",3.75,218.5875,58.29,"NOS",375,291.45,6.4334,5,,""
"olaiMHBfG6HhOQ6vw3V4","BMD-Malli Idiyappam",false,false,"Bulk Main Dish",9.5,590.8507,62.1948,"KG",300,310.974,4.8236,5,,""
"TlF0gVtFHgWit7FbQkuV","BMD-Malli Idiyappam Thalippu",false,true,"Bulk Main Dish",10,142.75,14.275,"KG",0,71.375,0,5,,""
"uRzUd7XPePAHUCzZspit","BMD-Malli Mini Idly",false,false,"Bulk Main Dish",10.5,601.0527,57.2431,"KG",300,275.404,5.2408,5,,""
"QftEEfjrPSpLRUcCbg0Q","BMD-Malli idiyappam Aravai",false,true,"Bulk Main Dish",10,190.784,19.0784,"KG",0,95.392,0,5,,""
"6N0HU1mjum8pVEdnafZm","BMD-PANEER KOTHU PAROTTA",false,false,"Bulk Main Dish",10,999.891,99.9891,"KG",600,499.9455,6.0007,5,,""
"odDONnXHssxx9hQXM9WL","BR-Ponni Pacharisi Sadham",false,false,"Boiled rice",3.5,66,18.8571,"KG",80,94.2855,4.2424,5,,""
"DV1enKnnUtPksNu5YxcO","BS - Online Pasiparuppu Puttu",false,false,"Sweet Bulk",12.6,1307.05,103.7341,"KG",500,518.6705,4.82,5,,""
"fbwLlbRwOvXVLS3P8SEK","BS - Pasiparuppu Puttu",false,false,"Sweet Bulk",11.5,1554.2,135.1478,"KG",500,675.739,3.6997,5,,""
"a2qDSO0yrhXnk4bYnrB2","BS - Rangoon Puttu",false,false,"Sweet Bulk",11,1344.15,122.1955,"KG",550,610.9775,4.501,5,,""
"S7ls0afpuxnH09ccm4Nm","BS- Tirattupal",false,false,"Sweet Bulk",3.5,669.45,191.2714,"KG",700,956.357,3.6597,5,,""
"istyc3TKpHZps5xqMKja","BS-SW- Sweet Idiyappam Vellam",false,false,"Sweet Bulk",3,212.1,70.7,"KG",350,353.5,4.9505,5,,""
"UnWkjt3Cl5yjk4D2uFXm","BSW- Madhuvarkkam",false,false,"Sweet Bulk",10,1180.83,118.083,"KG",500,577.915,4.3259,5,,""
"J2lVdiEDKbYK4JQbtEuj","Baby Corn Fry(Nos)",false,false,"Starter",100,725.72,7.2572,"NOS",35,36.286,4.8228,5,,""
"zzyfm1Z58GeciBoZVJ3U","Beeda",false,false,"HOS",1,0,0,"NOS",15,0,0,5,,""
"vxvP9iLKgP5NlbW649mS","Bisleri 300 ml (24 Bottle)",false,false,"Service Items",1,160.08,160.08,"Case",175,800.4,1.0932,5,,""
