English Name,Tamil Name
50 gm Chappathy,50 gm - சப்பாத்தி
Adai Aviyal Aravai,அடை அவியல் அரைவை
Adai Aviyal Thalippu,அடை அவியல் தாளிப்பு
Appalam,அப்பளம்
Aviyal,அவியல்
Aviyal - Aviyal Aravai,Aviyal - அவியல் அரைவை
Aviyal- Poosani,Aviyal - பூசணி
BMD - Idly Manchurian,BMD - இட்லி மஞ்சூரியன்
BMD - Khowsuey,BMD - கௌசுவே
BMD - Khowsuey Gravy,BMD - கௌசுவே கிரேவி
BMD - Masala Idiyappam,BMD - மசாலா இடியாப்பம்
BMD - Palak Idiyappam,BMD - பாலக் இடியாப்பம்
BMD - Palak Idiyappam Aravai,BMD - பாலக் இடியாப்பம் அரைவை
BMD - Rice Noodle in Idly Podi,BMD - சாதம் நூடுல்ஸ் இல் இட்லி பொடி
BMD - Spl. Kothu Chappathi,BMD - Spl. கொத்து சப்பாத்தி
BMD - Veg Rice Noodle,BMD - காய்கறி சாதம் நூடுல்ஸ்
BMD- Keppai Idiyappam,BMD - கேப்பை இடியாப்பம்
BMD- Lemon Idiyappam,BMD - எலுமிச்சை இடியாப்பம்
BMD- Milagu Idiyappam,BMD - மிளகு இடியாப்பம்
"BMD- Milagu,Seeraga Idiyappam","BMD - மிளகு,சீரக இடியாப்பம்"
BMD- Schezvan Noodles,BMD - செஸ்வான் நூடுல்ஸ்
BMD- Spl Kothu Parota,BMD - ஸ்பெஷல் கொத்து பரோட்டா
BMD- Thalitta Idiyappam,BMD - தாளித்த இடியாப்பம்
BMD-Karuveppilai Podi Idiyappam,BMD - கருவேப்பிலை பொடி இடியாப்பம்
BMD-Kothu Parota,BMD - கொத்து பரோட்டா
BMD-M.Samba Upma,BMD - M.Samba உப்புமா
BMD-Malli Idiyappam,BMD - மல்லி இடியாப்பம்
BMD-Malli Idiyappam Thalippu,BMD - மல்லி இடியாப்பம் தாளிப்பு
BMD-Malli Mini Idly,BMD - மல்லி மினி இட்லி
BMD-Malli idiyappam Aravai,BMD - மல்லி இடியாப்பம் அரைவை
BMD-PANEER KOTHU PAROTTA,BMD - பன்னீர் கொத்து பரோட்டா
BR-Ponni Pacharisi Sadham,BR - பொன்னி பச்சரிசி சாதம்
BS - Online Pasiparuppu Puttu,BS - ஆன்லைன் பாசிப்பருப்பு புட்டு
BS - Pasiparuppu Puttu,BS - பாசிப்பருப்பு புட்டு
BS - Rangoon Puttu,BS - ரங்கூன் புட்டு
BS- Tirattupal,BS - திரட்டுப்பால்
BS-SW- Sweet Idiyappam Vellam,BS-SW - இனிப்பு இடியாப்பம் வெல்லம்
BSW- Madhuvarkkam,BSW - மதுவர்க்கம்
Baby Corn Fry(Nos),பேபி கார்ன் வறுவல்((எண்ணிக்கை))
Beeda,பீடா
Bisleri 300 ml (24 Bottle),பிஸ்லெரி 300 மி.லி (24 பாட்டில்)
Boiled Toor Dal,வேகவைத்த துவரம் பருப்பு
Bread Fry,பிரெட் வறுவல்
Brinjal Kosthu,கத்தரிக்காய் கொஸ்து
Brinjal Kosthu Podi,கத்தரிக்காய் கொஸ்து பொடி
Butter,வெண்ணெய்
CB-Cold Badham Milk,CB - குளிர்ந்த பாதாம் பால்
CCN Powder,சிசிஎன் பொடி
CCN Powder,சிசிஎன் பொடி
COMBO - Chappathy,COMBO - சப்பாத்தி
Chaat - Channa,Chaat - சென்னா
Chaat - Channa Topping,Chaat - சென்னா டாப்பிங்
Chaat Chutney - Green,Chaat Chutney - பச்சை
Chaat Chutney - Green,Chaat Chutney - பச்சை
Chaat Chutney - Sweet Chutney,Chaat Chutney - இனிப்பு சட்னி
Chapathy- Live,Chapathy - லைவ்
Chappathy,சப்பாத்தி
Chappathy - Protein,Chappathy - புரோட்டீன்
Chappathy - Protein Masala,Chappathy - புரோட்டீன் மசாலா
Chat Chutney - Sweet,Chat Chutney - இனிப்பு
Chettinad Spl. Kozhukattai,செட்டிநாடு Spl. கொழுக்கட்டை
Chinese Veg Gravy,சைனீஸ் காய்கறி கிரேவி
Chips - Potato,Chips - உருளைக்கிழங்கு
Chips - Potato (S),Chips - உருளைக்கிழங்கு (S)
Chips - Tapaico,Chips - மரவள்ளி
Chips-Topiaco Chips,Chips - மரவள்ளி சிப்ஸ்
Chips-Vazhakkai Chips,Chips - வாழைக்காய் சிப்ஸ்
Chutney - Chow Chow,Chutney - சௌசௌ சௌசௌ
Chutney - Coconut Chutney,Chutney - தேங்காய் சட்னி
Chutney - Coconut Chutney Late,Chutney - தேங்காய் சட்னி லேட்
Chutney - Cucumber Chutney,Chutney - வெள்ளரிக்காய் சட்னி
Chutney - Kasi Milagaai,Chutney - காசி மிளகாய்
Chutney - Malli (WO Coconut),Chutney - மல்லி (இல்லாமல் தேங்காய்)
Chutney - Malli (WO Onion),Chutney - மல்லி (இல்லாமல் வெங்காயம்)
"Chutney - No Onion, Tomato Chutney","Chutney - வெங்காயம் இல்லாத வெங்காயம், தக்காளி சட்னி"
Chutney - No Tomato Thuvayal,Chutney - வெங்காயம் இல்லாத தக்காளி துவையல்
Chutney - Onion Kara Chutney,Chutney - வெங்காயம் கார சட்னி
Chutney - Poondu Chutney,Chutney - பூண்டு சட்னி
Chutney - Porichu Vaitha Chutney,Chutney - பொரித்த வைத்த சட்னி
Chutney - Pudhina (WO Coconut),Chutney - புதினா (இல்லாமல் தேங்காய்)
Chutney - Staff Chutney,Chutney - பணியாளர் சட்னி
Chutney - Tanger,Chutney - டாங்கர்
Chutney- Andhra Milagai chutney,Chutney - ஆந்திரா மிளகாய் சட்னி
Chutney- Kadhamba Chutney,Chutney - கதம்ப சட்னி
Chutney- Malli,Chutney - மல்லி
Chutney- Mint,Chutney - புதினா
Chutney- Silica Milagai Chutney,Chutney - சிலிக்கா மிளகாய் சட்னி
Chutney- Tomato Chutney,Chutney - தக்காளி சட்னி
Chutney-Company Kadhamba Chutney,Chutney - கம்பெனி கதம்ப சட்னி
